USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root         299  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/12:1H-kblockd]
root         301  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/10:1H-kblockd]
root         415  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/14:1H-kblockd]
root         416  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/1:1H-kblockd]
root         417  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/1:2-events_freezable_pwr_efficient]
root         462  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/7:1H-kblockd]
root         463  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/5:1H-kblockd]
root         464  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/9:1H-kblockd]
root         466  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/11:1H-kblockd]
root         476  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [irq/140-ELAN0788:00]
root         487  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-nvme-wq]
root         488  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-nvme-reset-wq]
root         489  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-nvme-delete-wq]
root         490  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-nvme-auth-wq]
root         501  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-USBC000:00-con1]
root         505  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-ttm]
root         506  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-btrfs-worker]
root         507  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-btrfs-delalloc]
root         508  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-btrfs-flush_delalloc]
root         509  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-btrfs-cache]
root         510  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-btrfs-fixup]
root         511  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-btrfs-endio]
root         512  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-btrfs-endio-meta]
root         513  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-btrfs-rmw]
root         514  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-btrfs-endio-write]
root         515  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-btrfs-compressed-write]
root         516  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-btrfs-freespace-write]
root         517  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-btrfs-delayed-meta]
root         518  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-btrfs-qgroup-rescan]
root         519  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [btrfs-cleaner]
root         520  0.0  0.0      0     0 ?        S    Apr19   0:02  \_ [btrfs-transaction]
root         544  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [card1-crtc0]
root         545  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [card1-crtc1]
root         546  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [card1-crtc2]
root         547  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [card1-crtc3]
root         558  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-ttm]
root         559  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [card0-crtc0]
root         560  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [card0-crtc1]
root         561  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [card0-crtc2]
root         562  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [card0-crtc3]
root         646  0.0  0.0      0     0 ?        I    Apr19   0:01  \_ [kworker/10:2-mm_percpu_wq]
root         673  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/0:2-events]
root         675  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [psimon]
root         783  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-cfg80211]
root         788  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [irq/16-processor_thermal_device_pci]
root         790  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [irq/163-iwlwifi:default_queue]
root         791  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [irq/164-iwlwifi:queue_1]
root         792  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [irq/165-iwlwifi:queue_2]
root         793  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [irq/166-iwlwifi:queue_3]
root         794  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [irq/167-iwlwifi:queue_4]
root         795  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [irq/168-iwlwifi:queue_5]
root         796  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [irq/169-iwlwifi:queue_6]
root         797  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [irq/170-iwlwifi:queue_7]
root         798  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [irq/171-iwlwifi:queue_8]
root         799  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [irq/172-iwlwifi:queue_9]
root         800  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [irq/173-iwlwifi:queue_10]
root         801  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [irq/174-iwlwifi:queue_11]
root         802  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [irq/175-iwlwifi:queue_12]
root         803  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [irq/176-iwlwifi:queue_13]
root         804  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [irq/177-iwlwifi:queue_14]
root         805  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [irq/178-iwlwifi:exception]
root         807  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/u65:1-ttm]
root         859  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [irq/179-AudioDSP]
root         872  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [jbd2/nvme0n1p5-8]
root         873  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-ext4-rsv-conversion]
root        1146  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-rpciod]
root        1147  0.0  0.0      0     0 ?        I<   Apr19   0:00  \_ [kworker/R-xprtiod]
root        1744  0.0  0.0      0     0 ?        S<   Apr19   0:00  \_ [krfcommd]
root        5453  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/4:0-events]
root        5514  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/2:0-mm_percpu_wq]
root        7338  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/13:2-nouveau_sched_wq_shared]
root        9398  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/2:1-i915-unordered]
root       11139  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/14:0-nouveau_sched_wq_shared]
root       11323  0.0  0.0      0     0 ?        I    Apr19   0:16  \_ [kworker/u64:7-btrfs-compressed-write]
root       11325  0.0  0.0      0     0 ?        I    Apr19   0:29  \_ [kworker/u64:11-btrfs-endio-write]
root       11947  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/4:2-cgroup_free]
root       12505  0.0  0.0      0     0 ?        I    Apr19   0:14  \_ [kworker/u64:2-btrfs-endio-write]
root       12556  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/8:0-mm_percpu_wq]
root       12904  0.0  0.0      0     0 ?        I    Apr19   0:02  \_ [kworker/3:0-events]
root       12934  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/9:0]
root       13254  0.0  0.0      0     0 ?        S    Apr19   0:00  \_ [psimon]
root       13269  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/14:2-cgroup_free]
root       13527  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/11:0-events]
root       13580  0.0  0.0      0     0 ?        I    Apr19   0:08  \_ [kworker/u64:0-btrfs-endio-write]
root       13597  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/3:2-nouveau_sched_wq_shared]
root       13618  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/8:3-events]
root       13622  0.0  0.0      0     0 ?        I    Apr19   0:07  \_ [kworker/u64:8-btrfs-compressed-write]
root       13623  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/u64:9-blkcg_punt_bio]
root       13632  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/u64:14-btrfs-compressed-write]
root       13636  0.0  0.0      0     0 ?        I    Apr19   0:03  \_ [kworker/u64:19-btrfs-endio-write]
root       13643  0.0  0.0      0     0 ?        I    Apr19   0:05  \_ [kworker/u64:26-btrfs-endio-write]
root       13644  0.0  0.0      0     0 ?        I    Apr19   0:06  \_ [kworker/u64:27-blkcg_punt_bio]
root       13646  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/5:3-events]
root       13647  0.0  0.0      0     0 ?        I    Apr19   0:00  \_ [kworker/1:0-mm_percpu_wq]
root       13648  2.5  0.0      0     0 ?        I    10:04   0:15  \_ [kworker/u64:29-events_unbound]
root       13649  1.8  0.0      0     0 ?        I    10:04   0:10  \_ [kworker/u64:30-btrfs-endio-write]
root       13662  0.0  0.0      0     0 ?        I    10:04   0:00  \_ [kworker/15:0-events]
root       13663  0.0  0.0      0     0 ?        S    10:04   0:00  \_ [irq/142-mei_me]
root       13664  0.0  0.0      0     0 ?        I    10:04   0:00  \_ [kworker/6:0-cgroup_free]
root       13666  0.0  0.0      0     0 ?        I    10:04   0:00  \_ [kworker/0:0-mm_percpu_wq]
root       13747  0.0  0.0      0     0 ?        I    10:04   0:00  \_ [kworker/7:2]
root       13794  0.0  0.0      0     0 ?        I    10:04   0:00  \_ [kworker/10:1]
root       13857  0.0  0.0      0     0 ?        I    10:04   0:00  \_ [kworker/12:2-nouveau_sched_wq_shared]
